,pickup_cluster,lat,lon
16616,6,-35.29,25.78
16617,6,-35.22,26.77
16618,6,-35.18,27.43
16619,6,-35.16,27.82
16620,6,-35.07,28.98
16621,6,-34.94,30.12
16622,6,-34.47,31.12
16623,6,-34.15,31.78
16624,6,-33.98,32.14
16625,6,-33.47,33.2
16626,6,-32.96,34.25
16627,6,-32.44,35.3
16628,6,-32.18,35.82
16629,6,-31.89,36.41
16630,6,-31.31,37.6
16631,6,-30.73,38.77
16632,6,-30.14,39.94
16633,6,-29.85,40.52
16634,6,-29.57,41.07
16635,6,-29.02,42.17
16636,6,-28.46,43.27
16637,6,-27.91,44.36
16638,6,-27.63,44.9
16639,6,-27.38,45.39
16640,6,-26.87,46.38
16641,6,-26.36,47.35
16642,6,-25.85,48.33
16643,6,-25.6,48.82
16644,6,-25.32,49.35
16645,6,-24.76,50.41
16646,6,-24.21,51.46
16647,6,-23.65,52.52
16648,6,-23.47,52.87
16649,6,-23.09,53.57
16650,6,-22.53,54.62
16651,6,-21.96,55.66
16652,6,-21.4,56.7
16653,6,-21.22,57.05
16654,6,-20.82,57.71
16655,6,-20.18,58.66
16656,6,-19.52,59.6
16657,6,-18.87,60.54
16658,6,-18.65,60.85
16659,2,-18.27,61.4
16660,2,-17.7,62.21
16661,2,-17.12,63.02
16662,2,-16.55,63.83
16663,2,-16.45,63.97
16664,2,-15.96,64.66
16665,2,-15.38,65.48
16666,2,-14.79,66.3
16667,2,-14.2,67.11
16668,2,-14.1,67.25
16669,2,-13.64,67.9
16670,2,-13.08,68.68
16671,2,-12.52,69.46
16672,2,-11.96,70.24
16673,2,-11.87,70.37
16674,2,-11.41,70.99
16675,2,-10.87,71.74
16676,2,-10.33,72.49
16677,2,-9.78,73.23
16678,2,-9.17,74.08
16679,2,-8.55,74.92
16680,2,-7.93,75.76
16681,2,-7.32,76.6
16682,2,-6.69,77.46
16683,2,-6.07,78.31
16684,2,-5.44,79.16
16685,2,-4.82,80.02
16686,2,-4.21,80.85
16687,2,-3.59,81.69
16688,2,-2.98,82.52
16689,2,-2.47,83.22
16690,2,-2.36,83.36
16691,2,-1.72,84.24
16692,2,-1.08,85.12
16693,2,-0.43,86.0
16694,2,0.1,86.73
16695,2,0.22,86.89
16696,2,0.93,87.85
16697,2,1.64,88.82
16698,2,2.34,89.78
16699,2,2.93,90.58
16700,2,3.05,90.74
16701,2,3.76,91.71
16702,2,4.46,92.67
16703,2,5.16,93.64
16704,5,5.63,94.28
16705,5,5.83,94.6
16706,5,6.23,95.6
16707,5,5.9,96.67
16708,5,5.36,97.66
16709,5,5.0,98.32
16710,5,4.76,98.62
16711,5,4.02,99.53
16712,5,3.28,100.43
16713,5,2.61,101.35
16714,5,2.13,101.97
16715,5,1.93,102.3
16716,5,1.31,103.28
16717,5,1.22,103.93
16718,5,1.25,103.98
16719,5,1.49,104.51
16720,5,2.62,105.05
